Long,Lat,Size
-71.07988963,42.35030915,42
-71.08677174,42.31115413,78
-71.12116753,42.28906908,87
-71.14522971,42.34988575,205
-71.04120390000001,42.369044099999996,31
-71.08235497,42.28028398,66
-71.05403387,42.3330049,23
-71.12774982,42.25875844,27
-71.06537601,42.30095488,63
-71.09333508,42.33130111,44
-71.05552115,42.36465147,86
-71.16744326,42.30097793,35
-71.00393957,42.39109683,55
-71.07546293,42.32091419,107
-71.11429090000001,42.31193403,86
-71.07638124,42.33401829,353
-71.15894627,42.28379791,9
-71.0985532,42.26652466,23
-71.0520224,42.29214062,67
-71.13119405333333,42.35074899333333,126
-71.05986361,42.31522881,18
-71.06348817,42.34997256,296
-71.02612007,42.3357882,32
-71.08729385,42.29663584,22
-71.16657919,42.35484754,18
-71.09266111,42.34693807,34
-71.07010617,42.283404499999996,96
-71.10328402,42.32291406,180
-71.06122663,42.37912706,53
-71.09377542,42.28295116,43
-71.03341643,42.38227768,17
-71.13137374,42.28342598,70
-71.14307663,42.25244012,18
-71.12014436,42.27258562,44
-71.08598,42.329551,33
-71.07717023,42.29603943,361
-71.04814061,42.35348229,102
-71.06510340000001,42.36058947,91
-71.1018026,42.34410718,68
-71.15959472,42.26617852,28
-71.04412969,42.33190787,25
-71.07608067,42.30756687,67
-71.09821217999999,42.315647155,161
-71.12079258,42.24235156,42
-71.10428096,42.33744152,174
-71.05860832,42.29514664,56
-71.06588201,42.33126177,13
-71.15814967,42.34846398,70
-71.06505939,42.31050632,24
-71.0608798,42.35512339,283
-71.01391172,42.38665379,12
-71.11453396,42.25966057,21
-71.07818565,42.34173737,48
-71.07225766,42.34243222,47
-71.04608937,42.28410589,95
-71.08344018,42.31503085,89
-71.07330004,42.2900467,48
-71.05467933,42.34128751,810
-71.07475974,42.27348112,50
-71.13786355,42.35343384,141
-71.10849986,42.30017478,27
-71.14822128,42.28709355,437
-71.05587546,42.32250351,58
-71.06582970000001,42.31735472,135
-71.13585244000001,42.240787455,102
-71.11940799,42.35144168,25
-71.1519725,42.34059097,10
-71.13209373,42.36025627,18
-71.07257288,42.38415612,67
-71.09550303,42.27615691,137
-71.08700389,42.28424005,124
-71.07088798000001,42.34964053,35
-71.05927356666666,42.304379143333335,169
-71.08328208,42.30066139,53
-71.035415375,42.335416975,48
-71.06267856,42.28947344,84
-71.08273055,42.33802166,44
-71.12403056,42.256171985555554,943
-71.10352056,42.30915624,40
-71.13335552,42.29142176,11
-71.08915023,42.32380776,69
-71.14773679,42.2729583,8
-71.03842544,42.37382246,91
-71.07900139,42.32926098,80
-71.16753205,42.27551471,27
-71.06267832666667,42.36466641333333,109
-71.09860557,42.33209622,28
-71.03870097,42.31928129,34
-71.15084361,42.35757826,104
-71.06731309999999,42.27504456,38
-71.12059815,42.27901778,48
-71.14336738,42.34355233,83
-71.07789593,42.31341383,68
-71.05399115,42.35796712,130
-71.07077333,42.30097791,78
-71.10760789,42.33164159,37
-71.05099868,42.37484795,3
-71.10651917,42.26881768,56
-71.08866865,42.34376458,105
-71.12560937,42.302606700000005,61
-71.08851632,42.31202047,54
-71.0291726,42.36429803,48
-71.13767216,42.27515909,13
-71.07117658,42.32396791,29
-71.05352062,42.2848086,71
-71.06864556,42.30626521,114
-71.05685393,42.31454312,38
-71.03051887,42.37699863,23
-71.09075049,42.26956689000001,168
-71.06492923285714,42.343113172857144,392
-71.08273084,42.30775024,57
-71.10889634,42.32227033,92
-71.07043382,42.33568335,37
-71.03121415,42.34583219,7
-71.07714995,42.28458864,19
-71.14914871,42.26376777,16
-71.08511955,42.31931572,70
-71.05892052,42.34994662,71
-71.11765636,42.29322645,59
-71.06338264,42.326143,36
-71.09135421166667,42.28477367166666,45
-71.05318949,42.32720403,157
-71.08926028,42.29056142,143
-71.09876085555554,42.34667061666667,580
-71.03685008,42.37949215,73
-71.1369669,42.34644627,77
-71.06126785,42.30060543,91
-71.13295048,42.25137716,38
-71.13792234,42.36284173,92
-71.15160335,42.34901546,35
-71.06884734,42.29581546,88
-71.09832664,42.32102032,30
-71.114609,42.300996000000005,29
-71.16843346,42.26623736,69
-71.11547974,42.28584736,43
-71.17244016,42.28536992,120
-71.06645921,42.37736141,75
-71.05976489,42.36183857,1131
-71.06954652,42.36240281,348
-71.06932562,42.31303093,77
-71.0749163,42.3525717,79
-71.11563053,42.25001483,48
-71.05037288,42.34035858,38
-71.09187755000002,42.33367922000001,547
-71.09486034,42.31529421,130
-71.07085307,42.33152148,634
-71.02365993,42.38071607,56
-71.1195116,42.26628086,22
-71.08564343,42.34875218,115
-71.12792774,42.35410505,29
-71.04709386,42.3107409,8
-71.07982055,42.3008484,82
-71.16437931,42.29154234,26
-71.13927694,42.28202824,27
-71.06578915,42.27995325,72
-71.09199697,42.27855984,154
-71.16022843,42.25678418,3
-71.10236678,42.31406507,28
-71.08299865,42.27133005,192
-71.08206723,42.32221645,134
-71.04291647,42.33550576,137
-71.06444063,42.28526024,188
-71.09818302,42.27310238,9
-71.08237834,42.29540175,123
-71.15588938,42.34150283,19
-71.0503255,42.33293419,114
-71.12690978,42.26884949,28
-71.05207989,42.30115708,20
-71.07677170000001,42.32491307,54
-71.08946896,42.31966035,62
-71.07386433,42.2792186,31
-71.06280666,42.32198656,133
-71.06015138,42.2980962,10
-71.07733761,42.33621941,30
-71.05593196,42.37663167,433
-71.07042271,42.35714744,43
-71.0613401,42.310434,532
-71.03610951,42.37004744,19
-71.07165726,42.29057504,101
-71.10909189,42.30740521,21
-71.06454338,42.35236776,116
-71.00003921,42.38423979,61
-71.1092979,42.3370097,79
-71.15009077,42.33724258,49
-71.05794654,42.35674089,97
