Long,Lat,Size
-71.0856896,42.32535151,295
-71.12740012333332,42.24775764,319
-71.06587395999999,42.36076872666666,373
-71.14415478,42.35489799,215
-71.07325788499999,42.293928394999995,458
-71.04085226000001,42.37341461,194
-71.128416275,42.287538435,39
-71.05358977666667,42.33752797666667,138
-71.09075049,42.26956689,248
-71.10728817666667,42.333445086666664,290
-71.05947115333333,42.314324373333335,278
-71.08187757333333,42.345484496666664,247
-71.16194999999999,42.27010391500001,103
-71.08196315250001,42.30614806,344
-71.09933740000001,42.31236627,131
-71.00605593499999,42.389962435,124
-71.05696814,42.30200898,230
-71.09148506857143,42.28495778285714,1495
-71.07611509666667,42.333719566666666,907
-71.10955247,42.26830566,128
-71.05620715,42.28796645,202
-71.09621109999999,42.33431859,299
-71.06427355,42.37875672,194
-71.07364875,42.28208198,325
-71.16319479,42.35237315,230
-71.0985177025,42.344126195,473
-71.15768688,42.28215798,303
-71.06348817,42.34997256,599
-71.05447582,42.363779675,460
-71.07304299,42.31535276,255
-71.130550005,42.35416135,324
-71.14098779,42.34266946,354
-71.0425703175,42.3352951275,510
-71.11653096666667,42.30944115333333,210
-71.12123167,42.26496475,245
-71.063712165,42.29883468,500
-71.09707352,42.31949779,205
-71.062511522,42.327028414,691
-71.11757462,42.27687413333333,507
-71.08767813,42.29091867,277
-71.13851148,42.284825399999995,100
-71.11402075250001,42.317388085000005,580
-71.15388143,42.34037301,362
-71.11878134,42.29523194,302
-71.05767661,42.35543089,434
-71.0723957,42.34107714,693
-71.12242761,42.2544451,154
-71.07626209,42.31989006,257
-71.04204544,42.317992161999996,345
-71.034908805,42.369088295000005,392
-71.08529592333333,42.336599946666674,390
-71.06674052,42.30486128333333,465
-71.0679658,42.27232565,326
-71.15202959,42.26655151,300
-71.08558934,42.350382376666666,154
-71.06767297,42.28935481,399
-71.13882916,42.23405146,43
-71.092983755,42.27463769,323
-71.026736355,42.380257915,499
-71.07634865666667,42.29628183666667,846
-71.07014395,42.33210843,230
-71.05470962,42.37830031,403
-71.05976489,42.36183857,1154
-71.08547969666667,42.29905990333333,406
-71.08486997,42.31744931,360
-71.13417555,42.27651058,153
-71.06391994,42.31859553,238
-71.12432445333333,42.35180074,406
-71.04516647666667,42.28498536,296
-71.15001559749999,42.3491901325,476
-71.06977063666666,42.35163868666667,289
-71.08452739,42.28424514,235
-71.05900597,42.29395958,373
-71.079722095,42.349211464999996,228
-71.03768922,42.3819736,220
-71.09932317,42.32270922,292
-71.08290436333333,42.33139978333333,236
-71.08179001,42.31226098,348
-71.03344509499999,42.331716799999995,236
-71.04940276333333,42.331129436666664,461
-71.13536804,42.24077498,166
-71.06493967,42.34302527,619
-71.04574705,42.353105365000005,528
-71.10189851,42.27071956,232
-71.11786345,42.24410679,438
-71.08245032666666,42.34170019333333,469
-71.14880074999999,42.28715052,604
-71.17867378,42.27810078,42
-71.10118272,42.28340547,14
-71.07609252,42.3120544,752
-71.07431340000001,42.288955,162
-71.07768709,42.302114913333334,626
-71.0891036,42.31363297,377
-71.08137652,42.27055521,222
-71.05325690666666,42.33922288,399
-71.05015218,42.2946997,198
-71.109627,42.30581531,252
-71.1009306,42.32902859,351
-71.06134412,42.30497366,403
-71.15205710999999,42.358762240000004,139
-71.12708146,42.30098889,219
-71.05651234666668,42.33037928000001,415
-71.09654253999999,42.34565517,567
-71.090985314,42.333886453999995,771
-71.04634423,42.30923689,61
-71.07032374999999,42.319293763333334,502
-71.06161089,42.35334800333333,286
-71.13675636,42.36428664,218
-71.056573665,42.32257735,133
-71.08333893599999,42.32806873,603
-71.13136036,42.2701175,37
-71.01600449,42.38831841,91
-71.0550736,42.35970426,370
-71.06403504,42.36600842,114
-71.06664424,42.30947016,247
-71.14449037,42.25661385,347
-71.10733333,42.31060967,205
-71.09079826,42.28013735,532
-71.1483583,42.33835433,194
-71.04218672,42.370386053333334,493
-71.07482212,42.38432736,410
-71.057471325,42.279806754999996,113
-71.16872347,42.29327594,211
-71.10509606,42.323872475,255
-71.08747789,42.34676463,443
-71.08026116,42.27892368,211
-71.03291314333332,42.377776583333336,290
-71.06254644,42.29618184,94
-71.13905967,42.35379408,197
-71.11992456,42.29113132,186
-71.12032517,42.25935892,174
-71.07821131,42.32522448,264
-71.10469391,42.34776033,145
-71.12639378666667,42.359304040000005,298
-71.097097826,42.314858756,488
-71.09798312,42.27729778,196
-71.06312433,42.35540738,522
-71.08520548999999,42.307256045,553
-71.14319087,42.3468275,149
-71.10021558,42.26374097,290
-71.10827806333333,42.286728860000004,272
-71.06121799799999,42.31098798199999,856
-71.07720701,42.35474887,216
-71.085306235,42.341746799999996,428
-71.11323495166668,42.29940319,452
-71.088471845,42.29485236,286
-71.069218075,42.356907515,381
-71.11683569,42.25246653,141
-71.07803230333333,42.33734127,197
-71.07623393,42.30723714,347
-71.16583944,42.27381773,185
-71.06778024,42.28229912,193
-71.0714811,42.32667817,258
-70.99711952,42.38889988,89
-71.13418872,42.349422829999995,476
-71.04728802,42.33789066,496
-71.09183929999999,42.31024899,272
-71.13635487,42.29186602,40
-71.05758840000001,42.367589200000005,112
-71.11822084,42.35294776,12
-71.1033632,42.31920138,119
-71.09035419,42.32075533,321
-71.11104812,42.25654364,83
-71.03618949,42.3477848,175
-71.06340355124999,42.352363105,1173
-71.12139702,42.27452174,169
-71.08056363833333,42.30071119833334,528
-71.157727165,42.349005455,170
-71.03556248,42.34051396,182
-71.1062668,42.27723796,47
-71.06978865,42.29938509,261
-71.07237228999999,42.334766949999995,105
-71.0759971275,42.3504516825,129
-71.13107478,42.27988953,230
-71.01017732,42.39504158,27
-71.105617545,42.335284474999995,108
-71.061921216,42.30115712,279
-71.152999505,42.287890704999995,346
-71.0622162,42.37886303,529
-71.08079561,42.32977778,678
-71.07009257333334,42.30721501333333,454
-71.09625992,42.26538294,200
-71.153065892,42.355577916,405
-71.06783906,42.31922045,348
-71.09210985666668,42.31512107,310
-71.06802956,42.32388203,153
-71.07834552,42.31552062,209
-71.1253531,42.2518944,271
-71.08563401000002,42.32866284,1055
-71.06452090600001,42.287160372,405
-71.16560344,42.34379826,109
-71.15682009,42.27708201,41
-71.06557375,42.37637109,333
-71.16814844,42.35605899,106
-71.13309458,42.24532353,77
-71.10429701888887,42.30948634333333,900
-71.08715809999998,42.28378654,371
-71.1384121,42.27709124,312
-71.080389345,42.295461044999996,358
-71.07319116,42.30235109,402
-71.09411419,42.284137775,526
-71.03039653,42.36481844,107
-71.14798064,42.25943465,316
-71.07049431,42.29191251,239
-71.052699545,42.329086645000004,199
-71.04827141999999,42.291383365,376
-71.05460091,42.31137657,140
-71.12497144,42.28183493,87
-71.05793388,42.3173029,449
-71.0697548225,42.3619496825,597
-71.0882412,42.35118146,120
-71.0747977090909,42.33529273636364,1351
-71.06685524000001,42.277761520000006,386
-71.11498383,42.26804498,125
-71.15891294,42.25977363,441
-71.13385673,42.36194242,134
-71.14290976,42.36071669,298
-71.06912373200001,42.339139262,892
-71.04676368,42.34228026,218
-71.07335061500001,42.344773285,518
-71.06093185,42.36439256,440
-71.0042013,42.38774152,162
-71.06200574714286,42.31979616285714,630
-71.03808438799999,42.367590957999994,301
-71.05576344666666,42.29664112,384
-71.083098922,42.309092500000006,794
